"port_code","period","total_number_vessels","total_tonnage_vessels","num_small_vessels","num_medium_vessels","num_large_vessels","num_verylarge_vessels","ton_small_vessels","ton_medium_vessels","ton_large_vessels","ton_verylarge_vessels"
"PTFNC",47,2,21,1,1,NA,NA,3,19,NA,NA
"PTLEI",47,231,2189,167,64,NA,NA,1154,1036,NA,NA
"PTLIS",47,279,2711,201,78,NA,NA,1313,1399,NA,NA
"PTPDL",47,105,599,104,NA,1,NA,559,NA,40,NA
"PTPXO",47,6,31,6,NA,NA,NA,32,NA,NA,NA
"PTSET",47,8,86,2,6,NA,NA,19,67,NA,NA
"PTSIE",47,112,3802,34,41,31,31,265,902,1988,4077
"ROCND",47,293,6100,151,89,53,NA,912,2227,2962,NA
"SEGVX",47,49,433,39,10,NA,NA,284,149,NA,NA
"SEHEL",47,147,1032,134,13,NA,NA,830,203,NA,NA
"SEMMA",47,29,193,29,NA,NA,NA,193,NA,NA,NA
"SENRK",47,15,86,15,NA,NA,NA,87,NA,NA,NA
"SEOXE",47,13,52,13,NA,NA,NA,52,NA,NA,NA
"SESDL",47,13,100,13,NA,NA,NA,99,NA,NA,NA
"SESTO",47,29,188,29,NA,NA,NA,189,NA,NA,NA
"SEUME",47,13,100,13,NA,NA,NA,99,NA,NA,NA
"SEGOT",47,232,3080,189,31,12,23,1194,764,1122,3772
"SEHAD",47,15,93,15,NA,NA,NA,93,NA,NA,NA
"SEVAG",47,13,113,13,NA,NA,NA,113,NA,NA,NA
"SIKOP",47,128,2407,47,69,12,5,341,1503,565,569
"TRSSX",47,2,9,2,NA,NA,1,9,NA,NA,113
"TRTZX",47,19,244,14,5,NA,NA,160,84,NA,NA
"TRALI",47,2,7,2,NA,NA,39,7,NA,NA,5962
"TRAMB",47,346,22643,82,173,91,13,1379,9022,12242,1987
"TRAYT",47,24,686,8,16,NA,27,147,539,NA,4128
"TRBDM",47,1,2,1,NA,NA,NA,2,NA,NA,NA
"TRBOT",47,1,3,1,NA,NA,27,3,NA,NA,4128
"TRGEM",47,95,3853,26,66,3,NA,299,3199,355,NA
"TRIST",47,81,1901,29,52,NA,NA,374,1528,NA,NA
"TRIZM",47,204,10798,68,129,7,NA,1890,7685,1223,NA
"TRIZT",47,67,2307,18,43,6,NA,143,1825,340,NA
"TRKRB",47,1,3,1,NA,NA,NA,3,NA,NA,NA
"TRMER",47,268,14569,81,164,23,NA,1589,9209,3770,NA
"TRTEK",47,25,691,12,13,NA,2,192,499,NA,239
"GBBEL",47,101,684,89,12,NA,NA,503,182,NA,NA
"GBBRS",47,25,304,12,13,NA,NA,74,230,NA,NA
"GBCDF",47,8,66,8,NA,NA,NA,66,NA,NA,NA
"GBCYP",47,61,413,60,1,NA,NA,395,18,NA,NA
"GBDVR",47,1,10,1,NA,NA,NA,10,NA,NA,NA
"GBFOR",47,78,470,77,1,NA,NA,453,18,NA,NA
"GBFXT",47,565,22428,151,188,195,118,917,5078,13053,18953
"GBGOO",47,46,96,46,NA,NA,NA,96,NA,NA,NA
"GBHRW",47,4,27,4,NA,NA,NA,27,NA,NA,NA
"GBHUL",47,92,546,92,NA,NA,NA,547,NA,NA,NA
"GBIMM",47,23,150,20,3,NA,NA,119,32,NA,NA
"GBIPS",47,1,4,1,NA,NA,NA,4,NA,NA,NA
"GBLDY",47,2,32,NA,2,NA,NA,NA,32,NA,NA
"GBLIV",47,99,1313,49,50,NA,NA,358,956,NA,NA
"GBLON",47,334,6246,179,122,33,15,1072,3331,1842,1850
"GBMED",47,154,8031,15,21,118,NA,116,570,7345,NA
"GBMME",47,96,953,76,20,NA,NA,528,425,NA,NA
"GBNPT",47,1,4,1,NA,NA,NA,4,NA,NA,NA
"GBSOU",47,203,11700,41,28,133,105,266,1008,10315,15776
"GBSWA",47,2,23,1,1,NA,NA,7,15,NA,NA
"GBWPT",47,25,190,25,NA,NA,NA,190,NA,NA,NA
"BEANR",48,1162,38968,233,584,313,154,1731,15024,18725,23047
"BEGNE",48,10,87,10,NA,NA,NA,86,NA,NA,NA
"BEZEE",48,380,12580,198,65,94,8,1219,1159,7624,1406
"BGBOJ",48,26,281,10,16,NA,NA,68,213,NA,NA
"BGVAR",48,98,1045,56,42,NA,NA,441,603,NA,NA
"CYLMS",48,210,3013,120,83,7,NA,828,1819,366,NA
"DEBMR",48,6,2,6,NA,NA,NA,2,NA,NA,NA
"DEBRE",48,13,213,6,7,NA,NA,38,176,NA,NA
"DEBRV",48,1224,30318,629,312,263,140,3974,6697,16387,24879
"DECUX",48,22,208,19,3,NA,NA,168,40,NA,NA
"DEHAM",48,1678,42922,976,318,335,197,6122,6990,24410,29334
"DENOE",48,23,7,23,NA,NA,NA,7,NA,NA,NA
"DENRD",48,24,7,24,NA,NA,NA,7,NA,NA,NA
"DELBC",48,17,93,17,NA,NA,NA,93,NA,NA,NA
"DKAAL",48,16,166,3,13,NA,NA,20,146,NA,NA
"DKAAR",48,211,3228,152,45,13,7,1056,841,1223,792
"DKCPH",48,100,721,93,7,NA,NA,645,77,NA,NA
"DKFRC",48,27,185,25,2,NA,NA,158,27,NA,NA
"DKGRE",48,3,22,2,1,NA,NA,9,13,NA,NA
"DKKOG",48,8,17,8,NA,NA,NA,17,NA,NA,NA
"EETLL",48,97,756,70,27,NA,NA,315,442,NA,NA
"GRAPL",48,1,2,1,NA,NA,NA,2,NA,NA,NA
"GRATK",48,1,8,1,NA,NA,NA,8,NA,NA,NA
"GRCLK",48,8,18,8,NA,NA,NA,18,NA,NA,NA
"GREEU",48,52,519,30,22,NA,NA,198,322,NA,NA
"GRGPA",48,1,2,1,NA,NA,NA,2,NA,NA,NA
"GRHER",48,16,208,8,8,NA,NA,55,153,NA,NA
"GRIGO",48,1,2,1,NA,NA,NA,2,NA,NA,NA
"GRKVA",48,10,48,10,NA,NA,NA,48,NA,NA,NA
"GRLAV",48,9,99,4,5,NA,NA,39,60,NA,NA
"GRMLO",48,1,3,1,NA,NA,NA,3,NA,NA,NA
"GRPIR",48,172,3492,70,81,21,81,426,1845,1219,10926
"GRRET",48,2,4,2,NA,NA,NA,4,NA,NA,NA
"GRRHO",48,1,2,1,NA,NA,NA,2,NA,NA,NA
"GRSKG",48,39,773,4,35,NA,NA,39,734,NA,NA
"GRSUD",48,1,2,1,NA,NA,NA,2,NA,NA,NA
"GRVOL",48,13,190,4,9,NA,NA,35,155,NA,NA
"ESAVS",48,10,104,5,5,NA,NA,34,70,NA,NA
"ESBIO",48,199,2195,141,56,2,NA,991,1103,101,NA
"ESFRO",48,2,17,2,NA,NA,NA,17,NA,NA,NA
"ESGIJ",48,38,310,38,NA,NA,NA,310,NA,NA,NA
"ESLCG",48,30,219,30,NA,NA,NA,220,NA,NA,NA
"ESMPG",48,24,421,2,22,NA,NA,20,401,NA,NA
"ESSDR",48,11,65,11,NA,NA,NA,65,NA,NA,NA
"ESVGO",48,155,1753,98,55,2,NA,640,1013,101,NA
"ESVIL",48,21,242,9,12,NA,NA,60,182,NA,NA
"ESAGP",48,98,3638,27,31,40,3,224,737,2677,454
"ESALC",48,89,1032,43,46,NA,NA,280,752,NA,NA
"ESALG",48,3260,33533,2825,329,80,62,16535,7367,5316,10313
"ESBCN",48,595,18456,181,223,191,65,1417,4892,12146,8755
"ESCAD",48,65,737,38,27,NA,NA,289,449,NA,NA
"ESCAR",48,50,427,42,8,NA,NA,333,94,NA,NA
"ESCAS",48,48,742,23,25,NA,NA,133,608,NA,NA
"ESLPA",48,424,9519,162,175,87,3,1170,3563,4786,324
"ESSCT",48,1778,11981,1778,NA,NA,NA,11982,NA,NA,NA
"ESSVQ",48,27,150,27,NA,NA,NA,150,NA,NA,NA
"ESTAR",48,30,222,29,1,NA,NA,209,12,NA,NA
"ESCEU",48,42,217,39,3,NA,NA,173,46,NA,NA
"ESMLN",48,18,157,12,6,NA,NA,86,70,NA,NA
"FIHEL",48,234,2272,177,57,NA,NA,1392,881,NA,NA
"FIHMN",48,66,516,58,8,NA,NA,374,143,NA,NA
"FIKEM",48,14,108,14,NA,NA,NA,108,NA,NA,NA
"FIKOK",48,5,15,5,NA,NA,NA,15,NA,NA,NA
"FIKTK",48,203,2195,129,74,NA,NA,987,1208,NA,NA
"FIOUL",48,13,100,13,NA,NA,NA,100,NA,NA,NA
"FIPOR",48,12,84,12,NA,NA,NA,84,NA,NA,NA
"FIRAU",48,84,857,60,24,NA,NA,498,359,NA,NA
"FITKU",48,14,106,14,NA,NA,NA,106,NA,NA,NA
"FITOR",48,9,69,9,NA,NA,NA,69,NA,NA,NA
"FRBES",48,19,209,17,2,NA,NA,161,50,NA,NA
"FRBOD",48,14,140,14,NA,NA,NA,140,NA,NA,NA
"FRCER",48,1,5,1,NA,NA,NA,5,NA,NA,NA
"FRDKK",48,80,2904,22,35,22,16,154,787,1854,2643
"FRLEH",48,616,27848,53,268,279,111,391,7126,18603,16140
"FRNTE",48,80,1570,26,50,4,NA,230,1177,163,NA
"FRURO",48,70,722,45,25,NA,NA,220,503,NA,NA
"FRMRS",48,279,9396,85,112,82,53,605,2926,5865,7372
"FRTLN",48,1,0,1,NA,NA,NA,0,NA,NA,NA
"REPDG",48,70,1558,5,59,6,NA,34,1277,247,NA
"HRPLE",48,24,219,20,4,NA,NA,156,63,NA,NA
"HRRJK",48,72,1513,26,32,14,4,185,681,648,437
"HRSPU",48,4,28,4,NA,NA,NA,28,NA,NA,NA
"IEDUB",48,324,2146,307,17,NA,NA,1884,262,NA,NA
"IEORK",48,92,579,92,NA,NA,NA,578,NA,NA,NA
"IEWAT",48,98,552,98,NA,NA,NA,553,NA,NA,NA
"IT888",48,1,5,1,NA,NA,NA,5,NA,NA,NA
"ITAOI",48,116,1359,66,50,NA,NA,502,856,NA,NA
"ITAUG",48,2,8,2,NA,NA,NA,8,NA,NA,NA
"ITCAG",48,48,354,39,9,NA,NA,238,117,NA,NA
"ITCHI",48,3,12,3,NA,NA,NA,12,NA,NA,NA
"ITCTA",48,1,4,1,NA,NA,NA,4,NA,NA,NA
"ITCVV",48,16,153,12,4,NA,NA,111,42,NA,NA
"ITGIT",48,345,10990,75,167,102,46,640,3022,7193,6427
"ITGOA",48,292,10330,54,117,121,58,441,2697,7192,7817
"ITLIV",48,101,3093,20,50,31,2,175,1164,1754,306
"ITMDC",48,13,392,3,2,8,NA,19,49,325,NA
"ITMNF",48,3,13,3,NA,NA,NA,13,NA,NA,NA
"ITMSN",48,1,32,NA,1,NA,NA,NA,32,NA,NA
"ITNAP",48,87,3568,26,14,47,NA,192,333,3042,NA
"ITPMO",48,7,90,2,5,NA,NA,19,71,NA,NA
"ITPZL",48,4,22,4,NA,NA,NA,22,NA,NA,NA
"ITQOS",48,1,2,1,NA,NA,NA,2,NA,NA,NA
"ITRAN",48,79,1314,19,60,NA,NA,108,1206,NA,NA
"ITREG",48,2,11,2,NA,NA,NA,11,NA,NA,NA
"ITSAL",48,51,481,40,11,NA,NA,298,184,NA,NA
"ITSPE",48,164,5261,33,83,48,66,268,2065,2928,9114
"ITSVN",48,18,370,1,17,NA,NA,9,361,NA,NA
"ITTAR",48,131,5153,25,44,62,NA,201,925,4027,NA
"ITTPS",48,22,151,19,3,NA,NA,108,43,NA,NA
"ITTRS",48,65,1387,5,58,2,3,49,1229,108,329
"ITVCE",48,113,1677,46,67,NA,NA,343,1335,NA,NA
"LTKLJ",48,168,1684,134,34,NA,NA,1013,670,NA,NA
"LVRIX",48,74,649,53,21,NA,NA,353,297,NA,NA
"LVVNT",48,4,23,4,NA,NA,NA,23,NA,NA,NA
"MTMAR",48,676,23062,210,275,187,260,1694,7967,12908,34865
"MTMLA",48,99,1782,33,66,NA,NA,165,1616,NA,NA
"NLAMS",48,107,3110,70,5,32,NA,554,162,2394,NA
"NLDZL",48,3,27,2,1,NA,NA,16,11,NA,NA
"NLMOE",48,13,44,13,NA,NA,NA,44,NA,NA,NA
"NLRTM",48,1778,51749,928,363,422,258,6098,7973,29862,40617
"NLTNZ",48,1,30,NA,1,NA,NA,NA,30,NA,NA
"NLVLI",48,7,193,1,5,1,NA,10,143,40,NA
"NOAES",48,75,412,75,NA,NA,NA,413,NA,NA,NA
"NOBGO",48,21,160,21,NA,NA,NA,160,NA,NA,NA
"NOBOO",48,23,36,23,NA,NA,NA,36,NA,NA,NA
"NOBRE",48,12,40,12,NA,NA,NA,39,NA,NA,NA
"NOFRO",48,2,9,2,NA,NA,NA,9,NA,NA,NA
"NOKRS",48,60,381,55,5,NA,NA,315,66,NA,NA
"NOLAR",48,50,325,46,4,NA,NA,273,53,NA,NA
"NOMAY",48,27,193,27,NA,NA,NA,193,NA,NA,NA
"NONVK",48,1,3,1,NA,NA,NA,3,NA,NA,NA
"NOOSL",48,84,538,79,5,NA,NA,485,55,NA,NA
"PLGDN",48,155,1346,134,21,NA,27,1070,276,NA,4659
"PLGDY",48,166,1653,135,31,NA,NA,887,766,NA,NA
"PLSWI",48,7,22,7,NA,NA,NA,23,NA,NA,NA
"PLSZZ",48,45,233,43,2,NA,NA,208,23,NA,NA
"PTAVE",48,1,4,1,NA,NA,NA,4,NA,NA,NA
"PTCNL",48,78,382,78,NA,NA,NA,383,NA,NA,NA
"PTLEI",48,224,1951,175,49,NA,NA,1146,806,NA,NA
"PTLIS",48,286,3582,198,76,12,NA,1249,1484,849,NA
"PTPDL",48,100,542,100,NA,NA,NA,543,NA,NA,NA
"PTPXO",48,7,40,7,NA,NA,NA,40,NA,NA,NA
"PTSET",48,13,127,4,9,NA,NA,26,102,NA,NA
"PTSIE",48,111,3656,41,35,28,32,361,755,1786,4260
"ROCND",48,307,7349,121,113,73,NA,804,2481,4064,NA
"SEGVX",48,50,485,38,12,NA,NA,289,198,NA,NA
"SEHEL",48,109,823,95,14,NA,NA,608,215,NA,NA
"SELLA",48,2,12,2,NA,NA,NA,12,NA,NA,NA
"SEMMA",48,22,154,22,NA,NA,NA,154,NA,NA,NA
"SENRK",48,6,57,5,1,NA,NA,40,17,NA,NA
"SEOXE",48,13,52,13,NA,NA,NA,52,NA,NA,NA
"SESDL",48,16,117,16,NA,NA,NA,117,NA,NA,NA
"SESFT",48,1,4,1,NA,NA,NA,4,NA,NA,NA
"SESTO",48,22,136,22,NA,NA,NA,136,NA,NA,NA
"SEUME",48,8,62,8,NA,NA,NA,62,NA,NA,NA
"SEGOT",48,218,3194,167,37,13,25,1041,830,1217,4201
"SEHAD",48,11,77,11,NA,NA,NA,76,NA,NA,NA
"SEVAG",48,13,112,12,1,NA,NA,101,11,NA,NA
"SIKOP",48,137,2755,46,76,15,4,322,1742,690,437
"TRERE",48,2,7,2,NA,NA,NA,7,NA,NA,NA
"TRTZX",48,13,200,9,4,NA,NA,103,96,NA,NA
"TRALI",48,3,11,3,NA,NA,NA,11,NA,NA,NA
"TRAMB",48,388,25476,74,223,91,NA,1031,11980,12464,NA
"TRAYT",48,23,767,6,17,NA,NA,110,658,NA,NA
"TRBDM",48,1,2,1,NA,NA,NA,2,NA,NA,NA
"TRGEM",48,91,3755,26,59,6,NA,438,2459,858,NA
"TRISK",48,2,9,2,NA,NA,NA,10,NA,NA,NA
"TRIST",48,67,1606,28,39,NA,NA,445,1161,NA,NA
"TRIZM",48,218,12697,49,165,4,NA,1286,10928,483,NA
"TRIZT",48,57,2310,11,41,5,NA,122,1962,226,NA
"TRMER",48,250,12464,73,157,20,NA,1439,8067,2957,NA
"TRTEK",48,22,445,12,10,NA,NA,156,288,NA,NA
"GBBEL",48,92,647,80,12,NA,NA,467,180,NA,NA
"GBBRS",48,23,268,12,11,NA,NA,74,195,NA,NA
"GBCDF",48,7,54,7,NA,NA,NA,54,NA,NA,NA
"GBCYP",48,59,402,59,NA,NA,NA,402,NA,NA,NA
"GBDVR",48,1,10,1,NA,NA,NA,10,NA,NA,NA
"GBFOR",48,75,465,66,9,NA,NA,323,143,NA,NA
"GBFXT",48,570,24085,145,183,202,121,846,5220,13644,19438
"GBGOO",48,48,101,48,NA,NA,NA,101,NA,NA,NA
"GBHRW",48,2,17,2,NA,NA,NA,17,NA,NA,NA
"GBHUL",48,79,457,78,1,NA,NA,443,15,NA,NA
"GBIMM",48,13,81,12,1,NA,NA,70,11,NA,NA
"GBLDY",48,1,10,1,NA,NA,NA,10,NA,NA,NA
"GBLIV",48,103,1505,44,59,NA,NA,334,1171,NA,NA
"GBLON",48,294,5949,138,125,31,21,856,3343,1752,2922
"GBMED",48,121,7106,6,9,106,NA,48,308,6750,NA
"GBMME",48,105,1022,81,24,NA,NA,614,408,NA,NA
"GBNPT",48,1,7,1,NA,NA,NA,7,NA,NA,NA
"GBPME",48,8,83,7,1,NA,NA,69,14,NA,NA
"GBPTB",48,1,4,1,NA,NA,NA,4,NA,NA,NA
"GBSOU",48,200,11858,36,26,135,112,253,963,10297,16802
"GBTYN",48,117,561,117,NA,NA,NA,561,NA,NA,NA
"GBWPT",48,25,190,25,NA,NA,NA,190,NA,NA,NA
"BEANR",49,1075,35562,207,574,262,162,1583,14481,15985,24403
"BEGNE",49,12,99,12,NA,NA,NA,99,NA,NA,NA
"BEZEE",49,342,12790,176,53,84,2,1144,918,7039,283
"BGBOJ",49,14,168,3,11,NA,NA,20,149,NA,NA
"BGVAR",49,84,925,39,45,NA,NA,303,623,NA,NA
"CYLCA",49,1,2,1,NA,NA,NA,2,NA,NA,NA
"CYLMS",49,217,3358,111,97,9,NA,777,2124,458,NA
"DEBMR",49,2,1,2,NA,NA,NA,1,NA,NA,NA
"DEBRE",49,13,240,4,9,NA,NA,20,220,NA,NA
"DEBRV",49,1020,25389,509,262,238,89,3253,5787,14784,15882
"DECUX",49,17,160,16,1,NA,NA,141,19,NA,NA
"DEHAM",49,1410,39112,756,306,306,179,4643,6858,22954,27191
"DENOE",49,16,5,16,NA,NA,NA,5,NA,NA,NA
"DENRD",49,11,3,11,NA,NA,NA,3,NA,NA,NA
"DELBC",49,10,57,10,NA,NA,NA,57,NA,NA,NA
"DERSK",49,1,6,1,NA,NA,NA,6,NA,NA,NA
"DKAAL",49,13,131,3,10,NA,NA,21,111,NA,NA
"DKAAR",49,199,2998,143,44,12,9,1081,795,1122,1185
"DKCPH",49,103,727,102,1,NA,NA,710,17,NA,NA
"DKEBJ",49,1,5,1,NA,NA,NA,5,NA,NA,NA
"DKFRC",49,23,163,20,3,NA,NA,131,32,NA,NA
"DKKOG",49,13,26,13,NA,NA,NA,26,NA,NA,NA
"EETLL",49,95,961,56,39,NA,NA,305,656,NA,NA
"GRAPL",49,1,2,1,NA,NA,NA,2,NA,NA,NA
"GRATK",49,1,2,1,NA,NA,NA,2,NA,NA,NA
"GRCLK",49,3,6,3,NA,NA,NA,6,NA,NA,NA
"GRDRE",49,1,52,NA,NA,1,NA,NA,NA,52,NA
"GREEU",49,34,397,13,21,NA,NA,97,300,NA,NA
"GRGPA",49,1,2,1,NA,NA,NA,2,NA,NA,NA
"GRHER",49,17,210,6,11,NA,NA,30,180,NA,NA
"GRIGO",49,1,2,1,NA,NA,NA,2,NA,NA,NA
"GRJMK",49,1,2,1,NA,NA,NA,2,NA,NA,NA
"GRKGS",49,1,54,NA,NA,1,NA,NA,NA,54,NA
"GRKMI",49,1,32,NA,1,NA,NA,NA,32,NA,NA
"GRKVA",49,8,45,8,NA,NA,NA,45,NA,NA,NA
"GRLAV",49,6,59,3,3,NA,NA,24,36,NA,NA
"GRPIR",49,189,3718,85,82,17,89,473,1745,1108,12386
"GRPLG",49,9,208,2,5,2,NA,8,87,114,NA
"GRSKG",49,64,1045,16,48,NA,NA,131,913,NA,NA
"GRSPE",49,1,11,NA,1,NA,NA,NA,11,NA,NA
"GRVOL",49,11,151,3,8,NA,NA,27,125,NA,NA
"ESAVS",49,11,98,8,3,NA,NA,59,39,NA,NA
"ESBIO",49,169,1833,123,46,NA,NA,866,967,NA,NA
"ESGIJ",49,33,278,31,2,NA,NA,256,22,NA,NA
"ESLCG",49,22,192,21,1,NA,NA,157,36,NA,NA
"ESMPG",49,17,272,2,15,NA,NA,14,258,NA,NA
"ESSDR",49,8,53,8,NA,NA,NA,53,NA,NA,NA
"ESVGO",49,154,1745,93,61,NA,NA,663,1081,NA,NA
"ESVIL",49,27,316,13,14,NA,NA,94,222,NA,NA
"ESAGP",49,54,1709,22,18,14,1,185,489,1036,108
"ESALC",49,91,1126,38,53,NA,NA,281,844,NA,NA
"ESALG",49,2809,29203,2409,287,94,48,13512,6544,6025,8292
"ESBCN",49,583,17375,171,232,174,53,1301,4583,10814,7479
"ESCAD",49,81,996,49,31,1,NA,352,593,50,NA
"ESCAR",49,50,422,43,7,NA,NA,328,93,NA,NA
"ESCAS",49,44,744,21,23,NA,NA,132,612,NA,NA
"ESLPA",49,391,9916,130,177,84,7,990,3809,5118,755
"ESPMI",49,2,35,NA,2,NA,NA,NA,35,NA,NA
"ESSCT",49,1462,11623,1382,80,NA,NA,10304,1319,NA,NA
"ESSVQ",49,24,137,24,NA,NA,NA,137,NA,NA,NA
"ESTAR",49,90,1899,63,6,21,NA,463,206,1231,NA
"ESCEU",49,31,151,30,1,NA,NA,134,16,NA,NA
"ESMLN",49,20,186,14,6,NA,NA,111,76,NA,NA
"FIHEL",49,254,2565,182,72,NA,NA,1448,1116,NA,NA
"FIHMN",49,62,701,39,23,NA,NA,267,434,NA,NA
"FIKEM",49,5,39,5,NA,NA,NA,39,NA,NA,NA
"FIKOK",49,8,24,8,NA,NA,NA,24,NA,NA,NA
"FIKTK",49,184,2040,112,72,NA,NA,827,1212,NA,NA
"FIOUL",49,12,93,12,NA,NA,NA,93,NA,NA,NA
"FIPOR",49,22,251,13,9,NA,NA,104,147,NA,NA
"FIRAU",49,83,844,55,28,NA,NA,432,412,NA,NA
"FITKU",49,13,103,13,NA,NA,NA,103,NA,NA,NA
"FITOR",49,11,85,11,NA,NA,NA,85,NA,NA,NA
"FRBES",49,22,172,22,NA,NA,NA,172,NA,NA,NA
"FRBOD",49,24,403,13,11,NA,NA,130,273,NA,NA
"FRCQF",49,1,4,1,NA,NA,NA,4,NA,NA,NA
"FRDKK",49,81,3117,16,43,22,12,127,993,1997,1977
"FRLEH",49,581,26634,42,266,254,95,338,7074,17133,13748
"FRLRH",49,2,20,2,NA,NA,NA,20,NA,NA,NA
"FRNTE",49,70,1502,24,39,7,NA,213,955,335,NA
"FRURO",49,72,894,32,40,NA,NA,160,733,NA,NA
"FRMRS",49,254,9647,60,93,101,41,429,2411,6809,5887
"REPDG",49,65,1294,4,54,7,NA,27,957,310,NA
"HRPLE",49,25,271,16,9,NA,NA,115,156,NA,NA
"HRRAS",49,1,4,1,NA,NA,NA,4,NA,NA,NA
"HRRJK",49,56,1380,13,29,14,3,93,659,627,372
"HRSPU",49,5,32,5,NA,NA,NA,33,NA,NA,NA
"IEDUB",49,307,2000,293,14,NA,NA,1800,199,NA,NA
"IEORK",49,94,597,94,NA,NA,NA,598,NA,NA,NA
"IEWAT",49,171,989,162,9,NA,NA,894,95,NA,NA
"IT888",49,18,384,4,13,1,NA,32,259,94,NA
"ITAOI",49,136,1268,70,66,NA,NA,344,924,NA,NA
"ITAUG",49,5,164,1,4,NA,NA,4,160,NA,NA
"ITBDS",49,1,10,1,NA,NA,NA,10,NA,NA,NA
"ITBRI",49,1,5,1,NA,NA,NA,5,NA,NA,NA
"ITCAG",49,263,3867,137,116,10,NA,745,2475,648,NA
"ITCTA",49,16,78,16,NA,NA,NA,79,NA,NA,NA
"ITCVV",49,27,361,6,21,NA,NA,40,321,NA,NA
"ITFAL",49,1,6,1,NA,NA,NA,6,NA,NA,NA
"ITGIT",49,1316,31315,393,749,169,56,2609,14587,13449,7925
"ITGOA",49,495,14398,166,210,114,48,969,4885,8006,6644
"ITLIV",49,377,11874,91,161,123,NA,656,4208,6794,NA
"ITMDC",49,8,271,NA,2,6,NA,NA,27,244,NA
"ITNAP",49,565,22788,175,103,282,NA,1179,2680,18389,NA
"ITPMO",49,67,464,56,11,NA,NA,301,163,NA,NA
"ITPVE",49,1,7,1,NA,NA,NA,7,NA,NA,NA
"ITPZL",49,4,8,4,NA,NA,NA,8,NA,NA,NA
"ITRAN",49,364,6568,67,297,NA,NA,474,6093,NA,NA
"ITSAL",49,153,2111,95,58,NA,NA,651,1458,NA,NA
"ITSPE",49,303,8753,62,156,85,63,384,3175,5194,9118
"ITSVN",49,33,340,22,11,NA,NA,160,181,NA,NA
"ITTAR",49,142,2512,71,60,11,NA,426,1444,642,NA
"ITTRS",49,157,2423,72,79,6,1,545,1608,270,153
"ITVCE",49,333,4640,162,171,NA,NA,966,3673,NA,NA
"LTKLJ",49,163,1600,132,31,NA,NA,918,683,NA,NA
"LVRIX",49,85,840,49,36,NA,NA,334,506,NA,NA
"LVVNT",49,2,15,2,NA,NA,NA,15,NA,NA,NA
"MTMAR",49,615,21204,176,263,158,159,1393,7649,10115,24013
"MTMLA",49,137,2254,53,83,1,NA,223,1967,65,NA
"NLAMS",49,127,3274,87,10,30,NA,662,314,2297,NA
"NLDZL",49,3,33,2,1,NA,NA,16,16,NA,NA
"NLHAR",49,3,11,3,NA,NA,NA,11,NA,NA,NA
"NLMOE",49,21,80,19,2,NA,NA,58,22,NA,NA
"NLRTM",49,1562,47514,749,383,371,242,4954,8631,26863,38176
"NLVLI",49,6,75,4,2,NA,NA,22,53,NA,NA
"NOAES",49,68,370,68,NA,NA,NA,370,NA,NA,NA
"NOBGO",49,39,245,39,NA,NA,NA,245,NA,NA,NA
"NOBOO",49,34,53,34,NA,NA,NA,53,NA,NA,NA
"NOBRE",49,9,34,9,NA,NA,NA,34,NA,NA,NA
"NOFRO",49,3,7,3,NA,NA,NA,7,NA,NA,NA
"NOKRS",49,76,515,69,7,NA,NA,425,91,NA,NA
"NOLAR",49,30,168,29,1,NA,NA,157,11,NA,NA
"NOMAY",49,23,161,23,NA,NA,NA,161,NA,NA,NA
"NOOSL",49,92,558,91,1,NA,NA,548,11,NA,NA
"NOSVG",49,9,90,9,NA,NA,NA,90,NA,NA,NA
"PLGDN",49,179,1445,149,30,NA,24,1045,400,NA,4078
"PLGDY",49,156,1342,132,24,NA,NA,736,607,NA,NA
"PLSWI",49,2,8,2,NA,NA,NA,8,NA,NA,NA
"PLSZZ",49,43,229,39,4,NA,NA,167,62,NA,NA
"PTCNL",49,72,353,72,NA,NA,NA,353,NA,NA,NA
"PTFNC",49,1,10,1,NA,NA,NA,10,NA,NA,NA
"PTLEI",49,228,2063,183,45,NA,NA,1267,797,NA,NA
"PTLIS",49,245,2768,185,53,7,NA,1245,1078,445,NA
"PTPDL",49,95,534,94,1,NA,NA,508,27,NA,NA
"PTPXO",49,10,57,10,NA,NA,NA,57,NA,NA,NA
"PTSET",49,13,129,3,10,NA,NA,17,111,NA,NA
"PTSIE",49,105,3314,37,29,36,27,331,622,2037,3599
"ROCND",49,197,4892,66,85,46,NA,477,1931,2483,NA
"SEGVX",49,52,513,37,15,NA,NA,269,245,NA,NA
"SEHEL",49,101,810,88,13,NA,NA,606,204,NA,NA
"SELLA",49,1,8,1,NA,NA,NA,8,NA,NA,NA
"SEMMA",49,26,170,26,NA,NA,NA,170,NA,NA,NA
"SEOXE",49,13,52,13,NA,NA,NA,52,NA,NA,NA
"SESDL",49,8,66,8,NA,NA,NA,66,NA,NA,NA
"SESTO",49,23,138,23,NA,NA,NA,139,NA,NA,NA
"SEUME",49,8,62,8,NA,NA,NA,62,NA,NA,NA
"SEGOT",49,200,3090,143,43,14,25,910,917,1264,4204
"SEHAD",49,14,86,14,NA,NA,NA,87,NA,NA,NA
"SEVAG",49,13,115,13,NA,NA,NA,115,NA,NA,NA
"SE88C",49,2,10,2,NA,NA,NA,10,NA,NA,NA
"SIKOP",49,141,2757,54,74,13,3,382,1789,585,372
"TRBTN",49,4,19,4,NA,NA,NA,19,NA,NA,NA
